ชื่อร้านค้า,CodeCustomer,จำนวนทั้งหมด,ยอดบิลนี้,ค้างจ่ายเก่า,ยอดรวมเงิน,จ่ายเงินสดวันนี้,โอนจ่ายต่อหน้า,จ่ายค้าง,โอนจ่ายที่หลัง,จ่ายค้างโอนต่อหน้า,จ่ายค้างเงินสด,ค้างจ่ายวันนี้,เครดิต,ค้างจ่ายใหม่,Status,Status3,Status2,ImageSaleSite,ชื่อเรื่อง,รหัสการขาย,YMD,Minute,TimeStamp,IDcode,No,LineCar,เหลี่ยมใหญ่,กลมใหญ่,กลมเล็ก,บดหยาบ,บดละเอียด,Latitude,Longitude,ID-CodeName,สอบค้าง,เก็บสอบ,นอนสอบ,ค้างกระสอบรวม
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ร้านพรนี,100379.0,1.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-05-34-53,2025-08-26,05:34:53,26/08/2025 05:34:53,111.0,,11.0,1.0,,,,,16.54872667,102.10213,ID-1111,0.0,,,0.0
ร้านมาวินชานมไข่มุก,101970.0,3.0,120.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-05-44-05,2025-08-26,05:44:06,26/08/2025 05:44:06,111.0,,11.0,,,,,3.0,16.549,102.10419333,ID-1111,0.0,,,0.0
ร้านลาบป.7,100257.0,2.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-05-57-48,2025-08-26,05:57:48,26/08/2025 05:57:48,111.0,,11.0,1.0,,,1.0,,16.57579167,102.108495,ID-1111,0.0,,,0.0
ร้านเขียงปลาแม่หน่อย,100258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ไม่ซื้อ,,อาคม,2568-08-26-111-11-06-02-45,2025-08-26,06:02:44,26/08/2025 06:02:44,111.0,,11.0,,,,,,16.57712,102.08933167,ID-1111,0.0,,,0.0
ร้านไก่ต้มน้ำปลาแม่สมรักษ์,100261.0,3.0,105.0,0.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-06-11-03,2025-08-26,06:11:03,26/08/2025 06:11:03,111.0,,11.0,,,,3.0,,16.57843833,102.08892833,ID-1111,-1.0,,,-1.0
ร้านพ่อสักกับข้าวเย็น,100259.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-06-11-17,2025-08-26,06:11:17,26/08/2025 06:11:17,111.0,,11.0,,,,1.0,,16.57843833,102.08892833,ID-1111,0.0,,,0.0
